"Time","api-icesat2-prod-dask-gateway-798c9798f8-bpwcf","autohttps-6c669c845d-5ld64","controller-icesat2-prod-dask-gateway-78f86f6f6d-f4nxg","dask-scheduler-04c170d2a43845b1b3615a30e1f14ae6","dask-scheduler-3efefa2916d041728ffae1591d540734","dask-scheduler-7e1aef87ccf646febe579ab8f93a340f","dask-scheduler-9fc829ee12af4c58a86c95fe2410286a","dask-scheduler-a3413571b0054e2592d0ef35f2684b3d","dask-scheduler-a6e61215499b4a529aebd4241f14f5af","dask-worker-3efefa2916d041728ffae1591d540734-7wm8f","dask-worker-3efefa2916d041728ffae1591d540734-nvhrj","dask-worker-a3413571b0054e2592d0ef35f2684b3d-4gl4z","dask-worker-a3413571b0054e2592d0ef35f2684b3d-9ckgc","dask-worker-a3413571b0054e2592d0ef35f2684b3d-sbjdl","dask-worker-a6e61215499b4a529aebd4241f14f5af-22p2l","dask-worker-a6e61215499b4a529aebd4241f14f5af-84x5k","dask-worker-a6e61215499b4a529aebd4241f14f5af-8gxdf","dask-worker-a6e61215499b4a529aebd4241f14f5af-8hqsz","hub-5c554bb6b5-qvjnm","icesat2-prod-ingress-nginx-controller-69b6d47979-hwrr5","icesat2-prod-kube-state-metrics-75bfcfbd8c-scd9j","icesat2-prod-prometheus-op-operator-589f7c4c68-cnxx4","jupyter-ajijohn","jupyter-cspencerjones","jupyter-jbusecke","jupyter-jessicas11","jupyter-robfatland","jupyter-rsignell-2dusgs","jupyter-salvis2","jupyter-scottyhq","jupyter-tomaugspurger","proxy-5b8689767c-49wqk","traefik-icesat2-prod-dask-gateway-84bd7f7c7-97j5l","user-scheduler-dbd59d5d-25z28","user-scheduler-dbd59d5d-hk844","quota - requests","quota - limits"
2020-10-06 20:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 20:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 21:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 21:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 22:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 22:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 23:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 23:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 00:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 00:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 01:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 01:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 02:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 02:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 03:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 03:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
